Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
jackson heidesch,3:59.080,6/1/2023,,,3:59.080,"saint louis university high school, saint louis, mo (usa)",6/1/2023,,,,,usa,3:59.080,6/1/2023
matt maldonado,3:59.080,2/25/2012,,,,,,3:59.080,"seattle, wa (usa)",2/25/2012,9/18/1990,usa,3:59.080,2/25/2012
jason jabaut,3:59.070,5/4/2006,,,3:57.260,"nashville, tn (usa)",6/2/2007,,,,3/13/1982,usa,3:57.260,6/2/2007
jacob boone,3:59.070,2/6/2009,,,,,,3:59.070,"south bend, in (usa)",2/7/2009,10/29/1987,usa,3:59.070,2/6/2009
trevor dunbar,3:59.060,7/15/2013,,,3:55.540,"concord, ma (usa)",6/1/2017,,,,4/29/1991,usa,3:55.540,6/1/2017
daniel dunbar,3:59.060,7/15/2013,,,,,,,,,,usa,3:59.060,7/15/2013
dan heikkinen,3:59.050,1/23/1982,,,,,,3:59.050,"ann arbor, mi (usa)",1/23/1982,1/26/1958,usa,3:59.050,1/23/1982
olin hacker,3:59.040,7/10/2021,,,3:56.590,"saint louis university high school, saint louis, mo (usa)",6/1/2023,3:56.660,"iowa-recreation building, iowa city, ia (usa)",1/22/2022,5/21/1997,usa,3:56.590,6/1/2023
ernie freer,3:59.040,4/4/1992,,,3:59.040,"fresno, ca (usa)",4/4/1992,,,,12/9/1965,usa,3:59.040,4/4/1992
sean torpy,3:59.040,6/6/2021,,,3:59.040,"montgomery bell academy, nashville, tn (usa)",6/6/2021,,,,,usa,3:59.040,6/6/2021
drew piazza,3:59.030,8/4/2017,,,3:56.860,"concord, ma (usa)",6/7/2018,3:59.670,"seattle, wa (usa)",1/26/2019,1/28/1995,usa,3:56.860,6/7/2018
casey clinger,3:59.020,4/24/2021,,,3:59.020,"clarence f. robison track, provo, ut (usa)",4/24/2021,3:57.130,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,10/9/1998,usa,3:57.130,2/11/2023
jeremy hernandez,3:59.010,2/25/2018,,,,,,3:55.660,"boston, ma (usa)",3/3/2019,4/13/1996,usa,3:55.660,3/3/2019
andy trouard,3:59.010,1/27/2018,,,3:59.130,"nashville, tn (usa)",6/10/2017,3:58.010,"seattle, wa (usa)",1/27/2018,4/22/1994,usa,3:58.010,1/27/2018
alex rogers,3:59.010,1/19/2019,,,3:59.070,"columbia international university, columbia, sc (usa)",8/29/2020,3:58.790,"seattle, wa (usa)",1/26/2019,6/26/1997,usa,3:58.790,1/26/2019
matt miner,3:59.010,2/23/2013,,,,,,3:59.010,"seattle, wa (usa)",2/23/2013,4/12/1990,usa,3:59.010,2/23/2013
nathan mountain,3:59.010,2/11/2023,,,,,,3:59.010,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,,usa,3:59.010,2/11/2023
jim ryun,3:59.000,6/5/1964,,,3:51.100,"bakersfield, ca (usa)",6/23/1967,3:56.400,"san diego, ca (usa)",2/19/1971,4/29/1947,usa,3:51.100,6/23/1967
howell michael,3:59.000,5/30/1970,,,3:56.400,"williamsburg, va (usa)",5/11/1974,,,,8/31/1949,usa,3:56.400,5/11/1974
bill dotson,3:59.000,6/23/1962,,,3:59.000,"walnut, ca (usa)",6/23/1962,3:59.800,"chicago, il (usa)",3/8/1963,12/27/1940,usa,3:59.000,6/23/1962
chris fox,3:59.000,1/15/1983,,,,,,3:59.000,"johnson city, tn (usa)",1/15/1983,10/22/1958,usa,3:59.000,1/15/1983
pat traynor,3:59.000,8/10/1968,,,3:59.000,"walnut, ca (usa)",8/10/1968,,,,6/22/1941,usa,3:59.000,8/10/1968
ryan kleimenhagen,3:59.000,1/28/2006,,,,,,3:59.000,"boston, ma (usa)",1/28/2006,3/23/1982,usa,3:59.000,1/28/2006
zach perrin,3:59.000,2/27/2016,,,,,,3:59.000,"seattle, wa (usa)",2/27/2016,1/25/1995,usa,3:59.000,2/27/2016
tyler pennel,3:58.990,6/4/2015,,,3:58.990,st. louis (usa),6/4/2015,,,,12/21/1987,usa,3:58.990,6/4/2015
andrew bayer,3:58.980,1/29/2010,,,3:52.900,"olympic stadium, london (gbr)",7/27/2013,3:57.750,"bloomington, in (usa)",1/28/2011,2/3/1990,usa,3:52.900,7/27/2013
rob napolitano,3:58.980,2/12/2016,,,3:57.080,"concord, ma (usa)",6/13/2019,3:54.280,"boston, ma (usa)",3/3/2019,11/3/1994,usa,3:54.280,3/3/2019
matt elliott,3:58.960,6/4/2011,,,3:57.160,"murfreesboro, tn (usa)",6/1/2013,3:57.360,"ames, ia (usa)",2/14/2015,9/8/1985,usa,3:57.160,6/1/2013
frezer legesse,3:58.950,2/11/2012,,,3:57.240,st. louis (usa),6/2/2016,3:57.480,"ames, ia (usa)",2/15/2014,6/4/1990,usa,3:57.240,6/2/2016
andrew mcclary,3:58.950,2/13/2010,,,3:58.160,st. louis (usa),5/22/2010,3:58.950,"fayetteville, ar (usa)",2/12/2010,10/31/1985,usa,3:58.160,5/22/2010
jordan mann,3:58.940,2/25/2018,,,3:59.680,st. louis (usa),5/31/2018,3:58.940,"boston, ma (usa)",2/25/2018,1/12/1993,usa,3:58.940,2/25/2018
mike michno,3:58.940,2/16/1991,,,,,,3:58.940,"boston, ma (usa)",2/16/1991,10/30/1962,usa,3:58.940,2/16/1991
everett smulders,3:58.930,1/30/2021,,,,,,3:58.730,"vanderbilt multipurpose facility, nashville, tn (usa)",2/12/2021,9/8/1998,usa,3:58.730,2/12/2021
ben groleau,3:58.930,1/26/2019,,,,,,3:58.930,"boston, ma (usa)",1/26/2019,6/15/1905,usa,3:58.930,1/26/2019
eric garner,3:58.930,3/20/2002,,,,,,3:58.930,"seattle, wa (usa)",3/2/2002,1/26/1981,usa,3:58.930,3/20/2002
tommy schmitz,3:58.920,4/25/2009,,,3:56.450,st. louis (usa),6/5/2014,,,,7/16/1983,usa,3:56.450,6/5/2014
yasin sado,3:58.920,5/4/2022,,,3:58.920,"uva lanningan field, charlottesville, va (usa)",5/4/2022,,,,,usa,3:58.920,5/4/2022
scott mcgowan,3:58.910,1/29/2005,,,3:57.210,"eugene, or (usa)",6/4/2005,3:58.910,"boston, ma (usa)",1/29/2005,1/27/1981,usa,3:57.210,6/4/2005
andrew jesien,3:58.910,2/13/2010,,,3:59.130,"nashville, tn (usa)",6/5/2010,3:58.910,"seattle, wa (usa)",2/13/2010,3/27/1987,usa,3:58.910,2/13/2010
jim spivey,3:58.900,2/9/1980,,,3:49.800,oslo (nor),7/5/1986,3:55.710,"providence, ri (usa)",2/1/1987,3/7/1960,usa,3:49.800,7/5/1986
bob day,3:58.900,6/5/1964,,,3:56.400,"bakersfield, ca (usa)",6/12/1965,,,,10/31/1944,usa,3:56.400,6/12/1965
dylan ferris,3:58.900,2/13/2010,,,,,,3:58.900,"seattle, wa (usa)",2/13/2010,3/15/1990,usa,3:58.900,2/13/2010
eric holt,3:58.880,8/10/2019,,,3:54.090,"mater dei prep, middletown township, nj (usa)",9/1/2022,3:53.530,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,5/12/1995,usa,3:53.530,2/26/2023
isaac basten,3:58.880,12/11/2021,,,3:59.430,"lied recreation center, ames, ia (usa)",1/22/2022,3:54.890,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,11/21/2000,usa,3:54.890,2/11/2023
david ribich,3:58.880,1/7/2018,,,3:56.680,"falmouth high school, falmouth, ma (usa)",8/20/2022,3:55.800,"boston univ. track & tennis center, boston, ma (usa)",2/27/2022,12/27/1995,usa,3:55.800,2/27/2022
reuben reina,3:58.880,2/18/1989,,,,,,3:57.080,"fayetteville, ar (usa)",1/25/1991,11/16/1967,usa,3:57.080,1/25/1991
nick harris,3:58.880,5/31/2018,,,3:58.880,st. louis (usa),5/31/2018,3:58.550,"boston, ma (usa)",1/26/2019,5/31/1994,usa,3:58.550,1/26/2019
justin switzer,3:58.860,2/7/2009,,,,,,3:58.860,"south bend, in (usa)",2/7/2009,11/21/1986,usa,3:58.860,2/7/2009
james randon,3:58.850,3/6/2016,,,3:56.510,"concord, ma (usa)",6/13/2019,3:56.430,"boston univ. track & tennis center, boston, ma (usa)",1/30/2022,6/16/1994,usa,3:56.430,1/30/2022
daniel schaffer,3:58.850,4/29/2023,,,3:58.440,"university of toledo t&f outdoor facility, toledo, oh (usa)",5/15/2021,3:57.470,"boston univ. track & tennis center, boston, ma (usa)",2/27/2022,2/5/1998,usa,3:57.470,2/27/2022
tyler stutzman,3:58.850,2/23/2013,,,,,,3:58.570,"seattle, wa (usa)",2/15/2014,3/24/1991,usa,3:58.570,2/15/2014
andrew poore,3:58.850,1/25/2013,,,,,,3:58.850,"bloomington, in (usa)",1/25/2013,12/3/1988,usa,3:58.850,1/25/2013
wes porter,3:58.840,5/4/2022,,,3:58.840,"uva lanningan field, charlottesville, va (usa)",5/4/2022,3:56.830,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,,usa,3:56.830,2/11/2023
kirubel erassa,3:58.840,3/30/2012,,,,,,3:57.860,"boston, ma (usa)",1/27/2018,6/17/1993,usa,3:57.860,1/27/2018
john lester,3:58.840,1/28/2023,,,,,,3:58.840,"randal tyson indoor center, fayetteville, ar (usa)",1/28/2023,,usa,3:58.840,1/28/2023
connor burns,3:58.830,6/2/2022,,,3:58.830,"saint louis university high school, saint louis, mo (usa)",6/2/2022,3:59.110,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,12/31/2004,usa,3:58.830,6/2/2022
mike manke,3:58.830,8/18/1978,,,3:58.830,berlin (ger),8/18/1978,,,,3/15/1952,usa,3:58.830,8/18/1978
sean maison,3:58.830,6/3/2023,,,3:58.830,"vanderbilt track, nashville, tn (usa)",6/3/2023,3:59.330,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,,usa,3:58.830,6/3/2023
duncan phillips,3:58.820,2/12/2011,,,3:56.100,st. louis (usa),6/5/2014,3:58.010,"ames, ia (usa)",2/15/2014,6/7/1989,usa,3:56.100,6/5/2014
bob whelan,3:58.820,3/11/1989,,,3:59.900,"nashville, tn (usa)",7/11/1992,3:58.620,"indianapolis, in (usa)",3/11/1989,8/6/1968,usa,3:58.620,3/11/1989
matthew wilkinson,3:58.820,2/26/2023,,,,,,3:58.820,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,12/27/1998,usa,3:58.820,2/26/2023
mark coogan,3:58.810,6/10/1989,,,3:58.810,"dedham, ma (usa)",6/10/1989,,,,5/1/1966,usa,3:58.810,6/10/1989
rick wohlhuter,3:58.800,6/20/1973,,,3:53.300,"wichita, ks (usa)",5/31/1975,3:57.700,"bloomington, in (usa)",1/25/1975,12/23/1948,usa,3:53.300,5/31/1975
brian baker,3:58.800,7/4/1998,,,3:57.400,"attleboro, ma (usa)",5/21/1999,3:59.670,"boston, ma (usa)",1/31/1999,6/8/1970,usa,3:57.400,5/21/1999
arjun jha,3:58.800,2/4/2023,,,3:58.800,"loftus sports center, south bend, in (usa)",2/4/2023,,,,,usa,3:58.800,2/4/2023
barry brown,3:58.800,5/13/1973,,,3:58.800,"gainesville, fl (usa)",5/13/1973,,,,7/26/1944,usa,3:58.800,5/13/1973
gary barger,3:58.800,5/29/1975,,,3:58.800,"eugene, or (usa)",5/29/1975,,,,12/29/1953,usa,3:58.800,5/29/1975
jim johnson,3:58.800,6/20/1973,,,3:58.800,"eugene, or (usa)",6/20/1973,,,,1/4/1950,usa,3:58.800,6/20/1973
lee labadie,3:58.800,5/11/1971,,,3:58.800,"carbondale, il (usa)",5/11/1971,,,,1/22/1950,usa,3:58.800,5/11/1971
macklin chaffee,3:58.800,2/12/2011,,,,,,,,,,usa,3:58.800,2/12/2011
richard romo,3:58.800,8/10/1966,,,3:58.800,"los angeles, ca (usa)",8/10/1966,,,,6/23/1943,usa,3:58.800,8/10/1966
tony jordanek,3:58.800,3/5/2010,,,3:59.210,"nashville, tn (usa)",6/4/2011,3:58.800,"new york, ny (usa)",3/5/2010,12/27/1986,usa,3:58.800,3/5/2010
paul ryan,3:58.790,2/23/2019,,,3:52.410,"mater dei prep, middletown township, nj (usa)",9/1/2022,3:57.210,"dempsey indoor, seattle, wa (usa)",2/13/2021,5/29/1997,usa,3:52.410,9/1/2022
mike stahr,3:58.790,1/26/1986,,,3:57.250,london (gbr),7/11/1986,3:58.650,"boston, ma (usa)",1/28/1990,12/9/1964,usa,3:57.250,7/11/1986
victor palumbo,3:58.790,12/12/2020,,,3:58.790,"columbia international university, columbia, sc (usa)",12/12/2020,,,,6/15/1905,usa,3:58.790,12/12/2020
tim gorman,3:58.780,2/11/2017,,,3:58.850,"trabuco hills hs, mission viejo, ca (usa)",7/18/2021,3:58.780,"seattle, wa (usa)",2/11/2017,6/5/1992,usa,3:58.780,2/11/2017
emmanuel bor,3:58.770,1/27/2018,,,,,,3:58.770,"boston, ma (usa)",1/27/2018,4/14/1988,usa,3:58.770,1/27/2018
taylor gilland,3:58.770,2/8/2014,,,,,,3:58.770,"boston, ma (usa)",2/8/2014,4/2/1991,usa,3:58.770,2/8/2014
george alex,3:58.760,2/11/2012,,,,,,3:58.760,"fayetteville, ar (usa)",2/11/2012,1/20/1990,usa,3:58.760,2/11/2012
earl jones,3:58.760,5/17/1986,,,3:58.760,"westwood, ca (usa)",5/17/1986,,,,7/17/1964,usa,3:58.760,5/17/1986
alexander rizzo,3:58.750,2/11/2023,,,,,,3:58.750,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,,usa,3:58.750,2/11/2023
henry wynne,3:58.740,1/30/2016,,,3:53.700,"falmouth high school, falmouth, ma (usa)",8/18/2023,3:51.260,"boston, ma (usa)",3/3/2019,4/18/1995,usa,3:51.260,3/3/2019
randy wilson,3:58.740,5/12/1984,,,3:58.740,"eugene, or (usa)",5/11/1984,,,,9/7/1955,usa,3:58.740,5/12/1984
charles marsala,3:58.730,2/16/1991,,,,,,3:58.730,"boston, ma (usa)",2/16/1991,1/3/1965,usa,3:58.730,2/16/1991
eric finan,3:58.730,6/5/2014,,,3:58.730,"concord, ma (usa)",6/5/2014,,,,6/9/1987,usa,3:58.730,6/5/2014
jonathon riley,3:58.720,2/6/1999,,,3:57.070,"falmouth, ma (usa)",8/11/2007,3:58.720,"ames, ia (usa)",2/6/1999,12/29/1978,usa,3:57.070,8/11/2007
jeff thode,3:58.720,3/5/2011,,,,,,3:58.720,"south bend, in (usa)",3/5/2011,9/10/1990,usa,3:58.720,3/5/2011
abbabiya simbassa,3:58.710,8/6/2021,,,3:58.710,"cardinal gibbons high school, raleigh, nc (usa)",8/6/2021,,,,6/30/1993,usa,3:58.710,8/6/2021
jeff see,3:58.700,6/20/2007,,,3:55.240,"falmouth, ma (usa)",8/13/2011,3:55.470,"fayetteville, ar (usa)",2/11/2012,6/6/1986,usa,3:55.240,8/13/2011
bill burke,3:58.700,2/10/1991,,,3:56.830,"eugene, or (usa)",6/5/1993,3:57.680,"new york, ny (usa)",2/26/1993,10/15/1969,usa,3:56.830,6/5/1993
don bowden,3:58.700,6/10/1957,,,3:58.700,"stockton, ca (usa)",6/1/1957,,,,8/8/1936,usa,3:58.700,6/10/1957
brett carney,3:58.700,4/28/1989,,,,,,,,,,usa,3:58.700,4/28/1989
lexington hilton,3:58.700,1/13/2023,,,,,,3:58.700,"randal tyson indoor center, fayetteville, ar (usa)",1/13/2023,,usa,3:58.700,1/13/2023
tinoda matsatsa,3:58.700,6/1/2023,,,3:58.700,"saint louis university high school, saint louis, mo (usa)",6/1/2023,,,,9/20/2004,usa,3:58.700,6/1/2023
thomas joyce,3:58.690,4/25/2015,,,3:58.690,"berkeley, ca (usa)",4/25/2015,3:58.470,"seattle, wa (usa)",2/11/2017,7/20/1993,usa,3:58.470,2/11/2017
alex hatz,3:58.680,2/11/2012,,,,,,3:58.680,"fayetteville, ar (usa)",2/11/2012,2/24/1992,usa,3:58.680,2/11/2012
christian hesch,3:58.680,8/13/2011,,,,,,,,,,usa,3:58.680,8/13/2011
garrett macquiddy,3:58.670,2/25/2023,,,3:58.670,"dempsey indoor, seattle, wa (usa)",2/25/2023,,,,,usa,3:58.670,2/25/2023
isaac presson,3:58.670,6/10/2013,,,3:58.670,"murfreesboro, tn (usa)",6/1/2013,,,,2/7/1992,usa,3:58.670,6/10/2013
jordan horn,3:58.670,2/13/2010,,,,,,3:58.670,"seattle, wa (usa)",2/13/2010,4/17/1984,usa,3:58.670,2/13/2010
luke combs,3:58.670,6/5/2022,,,3:58.670,"vanderbilt track, nashville, tn (usa)",6/5/2022,,,,,usa,3:58.670,6/5/2022
brian barraza,3:58.660,12/18/2016,,,3:59.090,"lipscomb academy, nashville, tn (usa)",8/15/2020,3:58.660,"college station, tx (usa)",12/10/2016,5/16/1995,usa,3:58.660,12/18/2016
mark deady,3:58.650,2/16/1991,,,,,,3:58.650,"boston, ma (usa)",2/16/1991,10/2/1967,usa,3:58.650,2/16/1991
rob myers,3:58.640,2/8/2003,,,3:53.780,"crystal palace, london (gbr)",7/30/2004,3:57.820,"fayetteville, ar (usa)",2/15/2008,8/5/1980,usa,3:53.780,7/30/2004
david torrence,3:58.620,4/28/2007,,,3:52.010,"hayward field, eugene, or (usa)",6/2/2012,3:56.690,"boston, ma (usa)",2/6/2010,11/26/1985,usa,3:52.010,6/2/2012
richie boulet,3:58.620,5/11/1997,,,3:53.250,"eugene, or (usa)",5/31/1998,3:56.850,"atlanta, ga (usa)",2/28/1998,6/14/1973,usa,3:53.250,5/31/1998
david krummenacker,3:58.620,2/7/1998,,,3:54.230,st. louis (usa),7/25/1998,3:58.620,"gainesville, fl (usa)",2/7/1998,5/24/1975,usa,3:54.230,7/25/1998
jim mckeon,3:58.620,1/19/1985,,,3:56.480,london (gbr),7/11/1986,3:58.360,"new york, ny (usa)",2/22/1985,9/8/1962,usa,3:56.480,7/11/1986
brett johnson,3:58.620,2/8/2013,,,,,,3:58.620,"seattle, wa (usa)",2/9/2013,9/27/1990,usa,3:58.620,2/8/2013
brian abshire,3:58.620,1/22/1988,,,,,,3:58.620,"johnson city, tn (usa)",1/23/1988,11/14/1963,usa,3:58.620,1/22/1988
david principe,3:58.620,2/11/2023,,,,,,3:58.620,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,11/10/1998,usa,3:58.620,2/11/2023
james quattlebaum,3:58.620,8/20/2019,,,3:58.620,"raleigh, nc (usa)",8/2/2019,,,,,usa,3:58.620,8/20/2019
luke julian,3:58.620,2/11/2023,,,,,,3:58.620,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,,usa,3:58.620,2/11/2023
travis mahoney,3:58.610,2/8/2014,,,3:58.080,mt. pleasant (usa),7/14/2018,3:57.860,"boston, ma (usa)",3/3/2019,7/25/1990,usa,3:57.860,3/3/2019
dyrol burleson,3:58.600,4/23/1960,,,3:55.600,compton (gbr),6/7/1963,,,,4/27/1940,usa,3:55.600,6/7/1963
gary lewis,3:58.600,5/25/1985,,,3:58.600,san jose (usa),5/25/1985,,,,8/8/1963,usa,3:58.600,5/25/1985
jerry richey,3:58.600,6/10/1968,,,3:58.600,"philadelphia, pa (usa)",6/1/1968,,,,2/23/1949,usa,3:58.600,6/10/1968
ryan manahan,3:58.570,2/14/2015,,,,,,3:58.570,"boston, ma (usa)",2/14/2015,7/14/1994,usa,3:58.570,2/14/2015
macauley franks,3:58.560,2/11/2023,,,,,,3:58.560,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,,usa,3:58.560,2/11/2023
alec basten,3:58.550,8/5/2022,,,3:58.550,"cardinal gibbons high school, raleigh, nc (usa)",8/5/2022,3:57.370,"armory track&field center, new york, ny (usa)",1/28/2023,2/26/1998,usa,3:57.370,1/28/2023
kasey knevelbaard,3:58.540,1/26/2019,,,3:57.570,"henderson hs, west chester, pa (usa)",8/11/2022,3:55.920,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,9/2/1996,usa,3:55.920,2/26/2023
ahmed bile,3:58.540,2/14/2015,,,,,,3:57.840,"boston, ma (usa)",2/6/2016,9/21/1993,usa,3:57.840,2/6/2016
chris lukezic,3:58.530,1/28/2006,,,3:54.460,"eugene, or (usa)",5/28/2006,3:56.040,"boston, ma (usa)",2/7/2009,4/24/1984,usa,3:54.460,5/28/2006
kyle merber,3:58.520,3/5/2010,,,3:54.570,"raleigh, nc (usa)",8/5/2016,3:52.220,"boston, ma (usa)",2/26/2017,11/19/1990,usa,3:52.220,2/26/2017
a.j. acosta,3:58.520,3/8/2008,3:53.760,7/30/2010,,,,,,,,usa,3:53.760,7/30/2010
john trautmann,3:58.520,3/9/1991,,,3:58.230,"new york, ny (usa)",5/24/1992,3:58.520,"indianapolis, in (usa)",3/9/1991,6/29/1968,usa,3:58.230,5/24/1992
tracen warnick,3:58.520,2/12/2022,,,3:58.520,"dempsey indoor, seattle, wa (usa)",2/12/2022,,,,,usa,3:58.520,2/12/2022
charlie gruber,3:58.510,3/10/2001,,,3:56.920,"eugene, or (usa)",6/4/2005,3:58.510,"fayetteville, ar (usa)",3/10/2001,8/6/1978,usa,3:56.920,6/4/2005
james cameron,3:58.510,3/5/2011,,,,,,3:58.510,"seattle, wa (usa)",3/5/2011,5/5/1991,usa,3:58.510,3/5/2011
joe klecker,3:58.510,2/23/2019,,,3:59.490,"franklin field, philadelphia, pa (usa)",4/29/2023,3:58.510,"seattle, wa (usa)",2/23/2019,11/16/1996,usa,3:58.510,2/23/2019
steve foster,3:58.500,5/6/1975,,,3:55.100,"philadelphia, pa (usa)",4/30/1977,,,,4/17/1952,usa,3:55.100,4/30/1977
bruce fischer,3:58.500,6/10/1974,,,3:58.500,"wichita, ks (usa)",6/1/1974,,,,9/25/1951,usa,3:58.500,6/10/1974
ted castaneda,3:58.500,6/10/1974,,,3:58.500,"wichita, ks (usa)",6/1/1974,,,,12/26/1951,usa,3:58.500,6/10/1974
elliott heath,3:58.480,7/17/2012,,,3:57.910,"falmouth, ma (usa)",8/10/2013,,,,2/4/1989,usa,3:57.910,8/10/2013
haron lagat,3:58.480,2/9/2008,,,,,,3:58.480,"lubbock, tx (usa)",2/9/2008,8/15/1983,usa,3:58.480,2/9/2008
andrew bumbalough,3:58.460,2/20/2008,,,3:58.780,"murfreesboro, tn (usa)",6/6/2009,3:56.120,"seattle, wa (usa)",2/9/2013,3/14/1987,usa,3:56.120,2/9/2013
camden gilmore,3:58.450,1/27/2023,,,,,,3:58.360,"boston univ. track & tennis center, boston, ma (usa)",2/5/2022,,usa,3:58.360,2/5/2022
matthew schadler,3:58.450,2/15/2020,,,,,,3:58.450,"boston univ. track & tennis center, boston, ma (usa)",2/15/2020,6/28/1999,usa,3:58.450,2/15/2020
david adams,3:58.440,4/21/2012,,,3:58.440,"lawrence, ks (usa)",4/21/2012,,,,1/4/1989,usa,3:58.440,4/21/2012
jason pyrah,3:58.430,2/11/1995,,,3:55.140,"eugene, or (usa)",5/26/1996,3:56.330,"fayetteville, ar (usa)",2/10/2001,4/6/1969,usa,3:55.140,5/26/1996
donnie cowart,3:58.430,8/10/2014,,,3:58.430,"raleigh, nc (usa)",8/1/2014,,,,10/24/1985,usa,3:58.430,8/10/2014
jason lunn,3:58.420,1/29/2000,,,3:54.430,"eugene, or (usa)",5/24/2003,3:55.490,"fayetteville, ar (usa)",2/15/2003,9/19/1974,usa,3:54.430,5/24/2003
michael hammond,3:58.410,3/5/2011,,,3:57.700,"greenville, sc (usa)",4/12/2014,3:58.410,"south bend, in (usa)",3/5/2011,11/7/1989,usa,3:57.700,4/12/2014
tony waldrop,3:58.400,4/21/1973,,,3:53.200,"philadelphia, pa (usa)",4/27/1974,3:55.000,"san diego, ca (usa)",2/17/1974,12/29/1951,usa,3:53.200,4/27/1974
chuck labenz,3:58.400,5/31/1969,,,3:56.900,"berkeley, ca (usa)",5/30/1970,3:58.100,"san diego, ca (usa)",2/19/1971,12/6/1948,usa,3:56.900,5/30/1970
larry mangan,3:58.400,5/16/1980,,,3:56.900,toronto (can),7/19/1983,,,,3/24/1959,usa,3:56.900,7/19/1983
mark belger,3:58.400,7/9/1979,,,3:58.400,"berkeley, ca (usa)",6/9/1979,3:57.400,"boston, ma (usa)",1/26/1980,9/6/1956,usa,3:57.400,1/26/1980
john mason,3:58.400,5/30/1970,,,3:57.900,"lawrence, ks (usa)",4/17/1971,3:58.000,"san diego, ca (usa)",2/19/1971,12/29/1945,usa,3:57.900,4/17/1971
gary gustafson,3:58.400,6/10/1983,,,3:58.400,vancouver (can),6/1/1983,,,,12/17/1956,usa,3:58.400,6/10/1983
roger jones,3:58.400,2/13/1982,,,3:58.930,"eugene, or (usa)",6/4/1983,3:58.400,"boston, ma (usa)",2/13/1982,11/22/1958,usa,3:58.400,2/13/1982
sean graham,3:58.400,6/10/2007,,,3:58.400,"beaverton, or (usa)",6/10/2007,,,,6/2/1905,usa,3:58.400,6/10/2007
john thompson,3:58.390,8/17/2019,,,3:58.390,"falmouth, ma (usa)",8/17/2019,,,,,usa,3:58.390,8/17/2019
todd harbour,3:58.380,7/7/1980,,,3:50.340,oslo (nor),7/11/1981,3:56.480,"east rutherford, nj (usa)",2/27/1983,3/24/1959,usa,3:50.340,7/11/1981
mark matusak,3:58.360,2/13/2010,,,,,,3:58.360,"seattle, wa (usa)",2/13/2010,6/27/1986,usa,3:58.360,2/13/2010
thomas awad,3:58.340,4/26/2014,,,3:58.340,"philadelphia, pa (usa)",4/26/2014,3:57.030,"new york, ny (usa)",2/20/2016,5/27/1994,usa,3:57.030,2/20/2016
joe dos reis,3:58.340,1/27/2023,,,,,,3:58.340,"boston univ. track & tennis center, boston, ma (usa)",1/27/2023,,usa,3:58.340,1/27/2023
steve plasencia,3:58.340,7/17/1982,,,3:58.340,london (gbr),7/17/1982,,,,10/28/1956,usa,3:58.340,7/17/1982
joshua thompson,3:58.330,2/13/2016,,,,,,3:52.490,"armory track&field center, new york, ny (usa)",2/11/2023,5/9/1993,usa,3:52.490,2/11/2023
ryan hill,3:58.330,,,,3:55.480,"memphis, tn (usa)",8/25/2018,3:54.890,"new york, ny (usa)",2/16/2013,1/31/1990,usa,3:54.890,2/16/2013
kevin king,3:58.310,6/14/1986,,,3:58.310,"villanova, pa (usa)",6/8/1986,,,,8/11/1963,usa,3:58.310,6/14/1986
richie harris,3:58.300,7/4/1980,,,3:51.390,koblenz (ger),8/29/1984,,,,3/4/1959,usa,3:51.390,8/29/1984
tom smith,3:58.300,7/4/1979,,,3:54.650,"westwood, ca (usa)",5/13/1984,3:56.900,"san diego, ca (usa)",2/17/1984,10/9/1957,usa,3:54.650,5/13/1984
isaiah harris,3:58.300,8/6/2021,,,3:58.300,"cardinal gibbons high school, raleigh, nc (usa)",8/6/2021,,,,10/18/1996,usa,3:58.300,8/6/2021
joe fabris,3:58.300,6/5/1982,,,3:58.300,"eugene, or (usa)",6/5/1982,,,,5/8/1957,usa,3:58.300,6/5/1982
keith forman,3:58.300,5/26/1962,,,3:58.300,"modesto, ca (usa)",5/26/1962,,,,2/24/1941,usa,3:58.300,5/26/1962
mark fricker,3:58.300,5/8/1982,,,3:58.300,"corvallis, or (usa)",5/8/1982,3:58.980,"san diego, ca (usa)",2/23/1986,11/23/1959,usa,3:58.300,5/8/1982
isaac updike,3:58.280,7/18/2021,,,3:58.260,"trabuco hills hs, mission viejo, ca (usa)",7/18/2021,,,,3/21/1992,usa,3:58.260,7/18/2021
acer iverson,3:58.270,2/4/2023,,,,,,3:58.270,"boston univ. track & tennis center, boston, ma (usa)",2/4/2023,,usa,3:58.270,2/4/2023
jeff jirele,3:58.260,7/30/1978,,,3:58.260,stockholm (swe),7/3/1978,,,,9/24/1953,usa,3:58.260,7/30/1978
